probe_cfg,signal,replicate_id,runtime_seconds,beta_rhat,beta_ess,group_rhat,group_ess,beta_pass,group_pass,both_pass
c2_w500_d500,concentrated,1,0.1963741000072332,1.0190476192097804,160.5128285730492,1.0478580578662855,74.93770522071866,False,False,False
c2_w500_d500,concentrated,2,0.19524790000286885,1.0308756688903309,99.81748709898083,1.0688011976245693,65.45304915825076,False,False,False
c2_w500_d500,concentrated,3,0.1952739999978803,1.0157123514592277,155.28441261225325,1.0400621842251794,67.96090005950629,False,False,False
c2_w500_d500,concentrated,4,0.19702320000214968,1.0324076760142529,125.1633096703687,1.0771683040574793,79.12330621447282,False,False,False
c2_w500_d500,concentrated,5,0.19667760000447743,1.0212861527703603,211.886784112537,1.1140120753962168,76.7907805104916,False,False,False
c2_w500_d500,distributed,1,0.19682850000390317,1.0337888477991304,143.90701833480173,1.050686444898661,65.4367655308108,False,False,False
c2_w500_d500,distributed,2,0.19677720000618137,1.0519954018779512,117.15007250977379,1.0649851423072256,66.16195030647981,False,False,False
c2_w500_d500,distributed,3,0.19682309999188874,1.0311769406356195,56.67902416207451,1.0326270888052167,59.97438926285157,False,False,False
c2_w500_d500,distributed,4,0.19693149998784065,1.0557859910645722,94.80401597598392,1.0512444170439137,65.22193845060669,False,False,False
c2_w500_d500,distributed,5,0.20800679999229033,1.0242367215591957,174.58157012104425,1.0464035155701894,79.43920717339005,False,False,False
c4_w1500_d1500,concentrated,1,1.2387445000058506,1.0048882524357725,807.0708976909565,1.0181677066528279,426.14793743289897,True,False,False
c4_w1500_d1500,concentrated,2,1.2283995000034338,1.0047754687398054,733.0110400391047,1.0110690924896113,348.792182290759,True,False,False
c4_w1500_d1500,concentrated,3,1.2409645000007004,1.0054566272719634,1092.0476699656583,1.0104875540438905,383.8515738413491,True,False,False
c4_w1500_d1500,concentrated,4,1.2248613000119803,1.003252463313924,850.9452507300945,1.0108506424839867,331.47532438579066,True,False,False
c4_w1500_d1500,concentrated,5,1.2443707000056747,1.0031652278087375,1292.1569449798242,1.0112731398156931,304.6810813554216,True,False,False
c4_w1500_d1500,distributed,1,1.2584614000079455,1.0171679127983853,402.2003417991322,1.020034158236239,350.4272945711835,False,False,False
c4_w1500_d1500,distributed,2,1.2433673000050476,1.0061916567939886,723.375140505697,1.0130888095576183,321.9135336538125,True,False,False
c4_w1500_d1500,distributed,3,1.2076423999969848,1.0075199481054393,540.7186932036161,1.0156495843370013,395.1615981215059,True,False,False
c4_w1500_d1500,distributed,4,1.2352470000041649,1.0034906779962227,694.1848010851998,1.0171217132735808,345.51778175409584,True,False,False
c4_w1500_d1500,distributed,5,1.2378701000125147,1.0067984771933514,1028.5557545648671,1.0237514381127208,366.9300227695718,True,False,False
c4_w2500_d2500,concentrated,1,2.0677797999960603,1.0029069127552739,1413.429311344469,1.0080112779174086,651.0445649427664,True,True,True
c4_w2500_d2500,concentrated,2,2.0632609000022057,1.0042125830218156,1435.1416756790238,1.0082157275949013,605.5809738984005,True,True,True
c4_w2500_d2500,concentrated,3,1.9912459000042873,1.0020791949859182,1302.2921577773552,1.0106246742041451,519.9769654919199,True,False,False
c4_w2500_d2500,concentrated,4,2.0449697000003653,1.005219465885311,1296.1419006063632,1.0065708649487382,440.1942761022033,True,True,True
c4_w2500_d2500,concentrated,5,2.001124099988374,1.0017150847417533,1805.1363277936553,1.01261829855675,391.6753525885739,True,False,False
c4_w2500_d2500,distributed,1,2.0852187999989837,1.0043997155606026,851.7073584057024,1.0114075861951368,573.1605647839875,True,False,False
c4_w2500_d2500,distributed,2,2.032690799998818,1.0050728597435177,927.2516712765085,1.008067582653989,548.9613647465196,True,True,True
c4_w2500_d2500,distributed,3,2.0376033000065945,1.0050862191677796,803.3461213997762,1.00934278818834,512.1989738525573,True,True,True
c4_w2500_d2500,distributed,4,2.0808341999945696,1.0042592601122793,1105.7057848971178,1.013867527269817,532.5923905614345,True,False,False
c4_w2500_d2500,distributed,5,2.0621496999956435,1.00323762732511,1162.1784022305587,1.0147318977360207,507.89625877897544,True,False,False
