setting_id,signal,design_type,rho_within,target_snr,sigma2,replicate_id,method,status,converged,fit_attempts,kappa_null_mean,kappa_signal_mean,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_null,mse_signal,mse_overall,avg_ci_length,coverage_95,lpd_test,probe_cfg
1,concentrated,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,1.1719407999917166,1.0181677066528279,426.14793743289897,,,0.0016463547883986593,0.013437243227803356,0.006362710164160539,0.3469645065230527,1.0,-1.3389045007660083,c4_w1500_d1500
1,concentrated,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,False,1,,,1.1928058999910718,1.0110690924896113,348.792182290759,,,0.0011979094046351562,0.018545689123614057,0.008137021292226716,0.34207036199228347,0.96,-1.4676925634927893,c4_w1500_d1500
1,concentrated,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,1.231322599996929,1.0104875540438905,383.8515738413491,,,0.004111777276197687,0.01593217715702387,0.00883993722852816,0.3571633909164823,0.96,-1.6544233443744478,c4_w1500_d1500
1,concentrated,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,1.2831964000070002,1.0108506424839867,331.47532438579066,,,0.0043342190369347515,0.01878013653427823,0.010112586035872147,0.32037570357478584,0.92,-1.7200507852997649,c4_w1500_d1500
1,concentrated,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,1.246663300000364,1.0112731398156931,304.6810813554216,,,0.0004898931449486408,0.014408913818050201,0.006057501414189264,0.33163112618170976,0.96,-1.4514418651717653,c4_w1500_d1500
2,distributed,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,1.305234700004803,1.020034158236239,350.4272945711835,,,0.0003817464705668269,0.001271732189461554,0.00045294532807840516,0.21842908694677787,1.0,-1.3326291236225059,c4_w1500_d1500
2,distributed,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,False,1,,,1.3222366999980295,1.0130888095576183,321.9135336538125,,,0.00015924661726539728,0.014391275835263003,0.0012978089547052054,0.1944555641882814,1.0,-1.534665344634057,c4_w1500_d1500
2,distributed,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,1.2908367000054568,1.0156495843370013,395.1615981215059,,,0.0012725727709273075,0.011978527457782355,0.002129049145875711,0.26637453538247524,1.0,-1.3829610272450816,c4_w1500_d1500
2,distributed,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,1.3035487000015564,1.0171217132735808,345.51778175409584,,,0.00034998264924260974,0.006101608261373736,0.0008101126982130997,0.21493421303941226,1.0,-1.882257363652339,c4_w1500_d1500
2,distributed,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,1.280151200000546,1.0237514381127208,366.9300227695718,,,0.00017407070997932004,0.01392730325967793,0.0012743293139552093,0.20214481545011298,1.0,-1.3591128303791422,c4_w1500_d1500
1,concentrated,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,True,1,,,2.184130199995707,1.0080112779174086,651.0445649427664,,,0.001732905529681633,0.013687624295746579,0.0065147930361076105,0.3518132777184792,1.0,-1.3409927788423222,c4_w2500_d2500
1,concentrated,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,True,1,,,2.0485558999935165,1.0082157275949013,605.5809738984005,,,0.0012497810201163686,0.01865204451149317,0.00821068641666709,0.34313806301122923,1.0,-1.4687962939540844,c4_w2500_d2500
1,concentrated,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,2.1256346000009216,1.0106246742041451,519.9769654919199,,,0.003718273555548525,0.015812736096507185,0.008556058571931988,0.35898981561024107,0.96,-1.643931007026639,c4_w2500_d2500
1,concentrated,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,True,1,,,2.112830700003542,1.0065708649487382,440.1942761022033,,,0.004243267292135561,0.018753495409599648,0.010047358539121193,0.3225212215130692,0.96,-1.7206709201892947,c4_w2500_d2500
1,concentrated,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,2.098593200003961,1.01261829855675,391.6753525885739,,,0.000491170719021489,0.014125873030302397,0.005945051643533852,0.3328678451456131,0.96,-1.4547338214215229,c4_w2500_d2500
2,distributed,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,2.1044621000037296,1.0114075861951368,573.1605647839875,,,0.00031044043962181176,0.00127196695208371,0.0003873625606187637,0.21257266562449686,1.0,-1.3324306343541108,c4_w2500_d2500
2,distributed,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,True,1,,,2.0090478000056464,1.008067582653989,548.9613647465196,,,0.00012985464721073687,0.014338449684912094,0.0012665422502268456,0.19178711517946742,1.0,-1.5343279740546425,c4_w2500_d2500
2,distributed,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,True,1,,,2.0408904000069015,1.00934278818834,512.1989738525573,,,0.0011350175450788506,0.011856703222245442,0.0019927523992521777,0.2592511596739626,1.0,-1.3815728121780118,c4_w2500_d2500
2,distributed,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,2.062170999997761,1.013867527269817,532.5923905614345,,,0.00032055954339381475,0.00614156249085141,0.0007862397791904225,0.21193928331049208,1.0,-1.8774637586446983,c4_w2500_d2500
2,distributed,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,2.048888999997871,1.0147318977360207,507.89625877897544,,,0.00016225577679367795,0.014093680722632772,0.0012767697724608057,0.19956469637295932,1.0,-1.3604510355614328,c4_w2500_d2500
