region,age,gender,raceethnicity,cli,hh_cmnty_cli,period,trust_experts
AK,25-44,Female,NonHispanicWhite,0.6654743,13.9539893,2021-06-01,59.3306327
AK,45-64,Female,NonHispanicWhite,0.1812104,8.5865622,2021-06-01,60.40515505
AK,45-64,Male,NonHispanicWhite,0.9337028,8.2460074,2021-06-01,47.869674175
AK,65plus,Female,NonHispanicWhite,0.0,9.920747,2021-06-01,68.43247662499999
AK,65plus,Male,NonHispanicWhite,0.0,8.1913482,2021-06-01,56.49087205
AL,18-24,Female,NonHispanicWhite,0.0,13.78145,2021-06-01,46.969697
AL,25-44,Female,NonHispanicBlackAfricanAmerican,0.5825369,13.7340523,2021-06-01,45.129870125
AL,25-44,Female,NonHispanicMultipleOther,0.5784314,13.2911392,2021-06-01,39.54545455
AL,25-44,Female,NonHispanicWhite,0.732513,14.9149353,2021-06-01,54.733124049999994
AL,25-44,Male,NonHispanicWhite,0.6328488,11.3745704,2021-06-01,45.81299275
AL,45-64,Female,NonHispanicBlackAfricanAmerican,0.7538519,10.0435665,2021-06-01,46.061693875
AL,45-64,Female,NonHispanicMultipleOther,0.6941089,8.3319515,2021-06-01,39.013798725
AL,45-64,Female,NonHispanicWhite,0.6274353,13.047891,2021-06-01,48.222408325
AL,45-64,Male,NonHispanicBlackAfricanAmerican,0.0,7.0075986,2021-06-01,51.984126975
AL,45-64,Male,NonHispanicWhite,0.6519878,11.8248858,2021-06-01,42.648980075
AL,65plus,Female,NonHispanicBlackAfricanAmerican,0.0,7.0442324,2021-06-01,61.5589999
AL,65plus,Female,NonHispanicWhite,0.0833482,10.527759,2021-06-01,50.021984724999996
AL,65plus,Male,NonHispanicWhite,0.1847085,8.6902094,2021-06-01,41.18025605
AL,NotReported,NotReported,NotReported,1.1019167,15.7294788,2021-06-01,37.777811125
AR,18-24,Female,NonHispanicWhite,2.2386482,22.973963,2021-06-01,59.583333325
AR,25-44,Female,NonHispanicWhite,1.1209123,14.6073175,2021-06-01,57.39087835
AR,25-44,Male,NonHispanicWhite,1.148223,10.8618718,2021-06-01,52.08434155
AR,45-64,Female,NonHispanicBlackAfricanAmerican,1.2162559,8.9923324,2021-06-01,46.11905505
AR,45-64,Female,NonHispanicWhite,1.3485441,13.2114181,2021-06-01,51.63820785
AR,45-64,Male,NonHispanicWhite,0.8051507,12.6006844,2021-06-01,48.094903275
AR,65plus,Female,NonHispanicWhite,0.0158268,11.0023924,2021-06-01,57.046017
AR,65plus,Male,NonHispanicWhite,0.1029892,11.061522,2021-06-01,53.834193375
AZ,18-24,Female,Hispanic,0.5050505,17.032967,2021-06-01,68.452380925
AZ,18-24,Female,NonHispanicWhite,0.9182936,12.1815211,2021-06-01,61.475409825
AZ,25-44,Female,Hispanic,1.0688642,12.9488163,2021-06-01,51.099782875
AZ,25-44,Female,NonHispanicMultipleOther,0.0,7.0652174,2021-06-01,48.557692325
AZ,25-44,Female,NonHispanicWhite,0.7246906,10.7218724,2021-06-01,57.1743852
AZ,25-44,Male,Hispanic,0.7250453,11.6637127,2021-06-01,51.77270837499999
AZ,25-44,Male,NonHispanicWhite,0.7447281,9.7715552,2021-06-01,58.4183787
AZ,45-64,Female,Hispanic,0.2038345,9.9724965,2021-06-01,56.04483487500001
AZ,45-64,Female,NonHispanicMultipleOther,0.0,7.8362927,2021-06-01,45.6371753
AZ,45-64,Female,NonHispanicWhite,0.5678558,8.2531583,2021-06-01,57.784086325000004
AZ,45-64,Male,Hispanic,0.0347116,9.1162069,2021-06-01,59.615823325
AZ,45-64,Male,NonHispanicMultipleOther,0.0,9.7938144,2021-06-01,31.43656715
AZ,45-64,Male,NonHispanicWhite,0.3600936,6.9543142,2021-06-01,52.62473265
AZ,65plus,Female,Hispanic,0.0,13.0307591,2021-06-01,59.332422825
AZ,65plus,Female,NonHispanicWhite,0.1245056,6.9534987,2021-06-01,58.398122
AZ,65plus,Male,Hispanic,0.6100513,14.4709784,2021-06-01,62.4445302
AZ,65plus,Male,NonHispanicWhite,0.1398103,7.9549946,2021-06-01,49.132930775
AZ,NotReported,NotReported,NotReported,1.6592276,12.6363909,2021-06-01,48.704145175
CA,18-24,Female,Hispanic,0.7160503,12.6611185,2021-06-01,59.325645425
CA,18-24,Female,NonHispanicAsian,0.0,6.8281536,2021-06-01,68.86363635000001
CA,18-24,Female,NonHispanicWhite,0.3565429,8.5818256,2021-06-01,66.098076125
CA,18-24,Male,Hispanic,1.6354366,11.9079081,2021-06-01,47.809646125
CA,18-24,Male,NonHispanicWhite,1.5315325,9.030785,2021-06-01,59.18367345
CA,25-44,Female,Hispanic,0.4541094,9.4693361,2021-06-01,50.774929075
CA,25-44,Female,NonHispanicAsian,0.3461074,5.7418297,2021-06-01,62.568047175
CA,25-44,Female,NonHispanicBlackAfricanAmerican,0.2320536,5.3037455,2021-06-01,55.00901105
CA,25-44,Female,NonHispanicMultipleOther,1.3822535,9.3828839,2021-06-01,52.341639875
CA,25-44,Female,NonHispanicWhite,0.582452,8.2065417,2021-06-01,62.193050125
CA,25-44,Male,Hispanic,0.6536881,8.7902292,2021-06-01,53.937530275
CA,25-44,Male,NonHispanicAsian,0.1985664,6.3004731,2021-06-01,69.120556525
CA,25-44,Male,NonHispanicBlackAfricanAmerican,2.230646,8.0736442,2021-06-01,53.355957775
