p0_true,variant,method_type,backend,status,converged,fit_attempts,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,tau0_oracle,tau_post_mean,tau_ratio_to_oracle,kappa_null_mean,kappa_signal_mean,mse_overall,mse_signal,mse_null,error,posterior_quality_label
5,RHS_oracle,RHS,collapsed,ok,True,2,33.685804399996414,1.0141807286845475,429.308645883494,0.0,0.01111111111111111,,,,,0.000722039314725834,0.004882872671182082,0.00025972449734180643,,rescued_by_retry
5,calibrated,GR_RHS,collapsed,ok,True,2,5.632891000001109,1.0,1600.0,,0.01111111111111111,inf,,0.03255894729227293,0.5666127577424049,,,,,rescued_by_retry
5,fixed_10x,GR_RHS,collapsed,ok,True,1,95.8815700999985,1.00609573009129,493.0623059919404,,0.01111111111111111,0.3730017934250645,33.57016140825581,0.24553472402809048,0.7613723467476665,0.0007704741219797317,0.0035617016802647846,0.000460337726614726,,good_first_pass
5,oracle,GR_RHS,collapsed,ok,True,2,4.192353100006585,1.0,1600.0,,0.01111111111111111,1.2217462658882141,109.95716392993928,0.1479394348571077,0.6452439948916435,,,,,rescued_by_retry
15,RHS_oracle,RHS,nuts,ok,True,2,25.50918670000101,1.009578695051273,612.5859038049564,0.0,0.04285714285714286,,,,,0.055990717376020765,0.11548207336408882,0.030494421952563026,,rescued_by_retry
15,calibrated,GR_RHS,nuts,error,False,2,7.351276500005042,1218339.625,1.0006253908692933,1.0,0.04285714285714286,,,,,,,,ConvergenceError: GR_RHS did not converge after 2 attempt(s),failed
15,fixed_10x,GR_RHS,nuts,error,False,2,6.533520299984957,9665899.0,1.000625390869297,1.0,0.04285714285714286,,,,,,,,ConvergenceError: GR_RHS did not converge after 2 attempt(s),failed
15,oracle,GR_RHS,nuts,error,False,2,6.105727399990428,4564484.0,1.0006253908693916,1.0,0.04285714285714286,,,,,,,,ConvergenceError: GR_RHS did not converge after 2 attempt(s),failed
30,RHS_oracle,RHS,nuts,error,False,2,32.357984800008126,1.0185124921428725,243.45293423021772,0.0,0.15,,,,,,,,ConvergenceError: RHS did not converge after 2 attempt(s),failed
30,calibrated,GR_RHS,nuts,error,False,2,7.778620500001125,1567272.5,1.0006253908712908,1.0,0.15,,,,,,,,ConvergenceError: GR_RHS did not converge after 2 attempt(s),failed
30,fixed_10x,GR_RHS,nuts,error,False,2,6.728519600001164,2136415.25,1.0006253908698652,1.0,0.15,,,,,,,,ConvergenceError: GR_RHS did not converge after 2 attempt(s),failed
30,oracle,GR_RHS,nuts,error,False,2,7.165706300002057,1910524.125,1.0006253908729437,1.0,0.15,,,,,,,,ConvergenceError: GR_RHS did not converge after 2 attempt(s),failed
