scenario,replicate_id,variant,group_sizes,group_signal,group_amplitude,status,converged,fit_attempts,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_null,mse_signal,mse_overall,group_auroc
no_group_amplitude,1,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",error,False,6,14.232055899992702,58206.0390625,2.000125007815073,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s),nan,nan,nan,nan
no_group_amplitude,1,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",ok,True,1,22.39746290000039,1.0122802257537842,318.25458102924074,0.0009375,,0.00047626592912400204,0.013847194698127847,0.00849882319052631,1.0
no_group_amplitude,2,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",error,False,6,16.851483500009635,125999.46875,2.0001250094427347,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s),nan,nan,nan,nan
no_group_amplitude,2,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",error,False,6,12.703365099980147,23560.59375,2.000125010288797,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s),nan,nan,nan,nan
no_group_amplitude,3,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",error,False,6,18.096268900000723,21449.04296875,2.0001250082648716,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s),nan,nan,nan,nan
no_group_amplitude,3,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",ok,True,1,22.18129759999283,1.0060522556304932,721.5053241897247,0.0015625,,0.0003795828015778351,0.017381084348062337,0.010580483729468538,1.0
no_group_amplitude,4,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",error,False,6,16.96489550000115,60823.0078125,2.000125009620737,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s),nan,nan,nan,nan
no_group_amplitude,4,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",ok,True,1,20.73309509998944,1.006896734237671,536.6498170130302,0.0009375,,0.0008402640419816433,0.013573491204297296,0.008480200339371035,1.0
no_group_amplitude,5,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",ok,True,1,29.018072000006214,1.0061227083206177,677.8902724126813,0.001875,,0.000198874582044902,0.02688259879399637,0.016209109109215785,1.0
no_group_amplitude,5,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",ok,True,1,22.47514319999027,1.009811520576477,393.43212475554344,0.0040625,,0.00020809143239453536,0.026755920611583398,0.016136788939907852,1.0
