p_g,setting_id,replicate_id,tau_eval,alpha_kappa,beta_kappa,post_mean_kappa,post_median_kappa,post_sd_kappa,tail_prob_kappa_gt_0_1,tail_prob_kappa_gt_0_2
10,1,1,0.5,0.5,1.0,0.3244094184799571,0.23801690549406723,0.30114114118594104,0.661290946774046,0.5387507529078905
10,1,2,0.5,0.5,1.0,0.27500099818185747,0.16205956518940473,0.2900591116995415,0.5838160850083287,0.4581427469717297
20,2,1,0.5,0.5,1.0,0.27609840408995884,0.16519712682014512,0.289271653945598,0.5886593846337083,0.46120356587104216
20,2,2,0.5,0.5,1.0,0.2876714520288255,0.182011451632399,0.29240039977244603,0.607390720359309,0.48037481875194915
50,3,1,0.5,0.5,1.0,0.2042743651584072,0.0849356696233013,0.2578949309777657,0.47201534411776047,0.34160092719499996
50,3,2,0.5,0.5,1.0,0.22872400634071072,0.10998753667913558,0.26924891959875974,0.5166771533899303,0.3841789527448899
100,4,1,0.5,0.5,1.0,0.08439658424525218,0.01859897381635288,0.15897474980152787,0.22570504826828852,0.12580178058720784
100,4,2,0.5,0.5,1.0,0.09912900328009469,0.023848414715767794,0.175256043242076,0.2619299348842399,0.15320465887470525
200,5,1,0.5,0.5,1.0,0.38146984852645055,0.3308028408971019,0.28532017177056695,0.79953629419587,0.6601539808754628
200,5,2,0.5,0.5,1.0,0.05145805935430876,0.011446848458479037,0.10651232648209065,0.14485681894231378,0.06301162278347124
500,6,1,0.5,0.5,1.0,0.29957868781249003,0.23635574712105084,0.2421273967884751,0.7741475101743566,0.5659996504615832
500,6,2,0.5,0.5,1.0,0.4508637849299747,0.4164761865917564,0.2564818455092356,0.9359840911783551,0.8122178262545791
1000,7,1,0.5,0.5,1.0,0.028818195990565586,0.011338850180681892,0.04281424773711313,0.06663499051372754,0.008592223092985586
1000,7,2,0.5,0.5,1.0,0.012593999651777097,0.0027154716978626775,0.022297322965822014,0.011196120686427927,0.0005984081201116403
2000,8,1,0.5,0.5,1.0,0.04207474770016182,0.03105293992824492,0.043016873032385515,0.10127209114407396,0.005894917463968212
2000,8,2,0.5,0.5,1.0,0.030689072654382192,0.0187765699105592,0.03569740935225788,0.053052610306285615,0.0020954797897408104
