tau,xi,xi_ratio,p_g,mean_prob_gt_u0,sd_prob_gt_u0
0.1,0.0014851485148514854,0.3,30,0.27325495654137993,0.002161995474054898
0.1,0.0024752475247524757,0.5,30,0.27169678917970885,0.0009546957303418541
0.1,0.003465346534653466,0.7,30,0.2698655685271911,0.001604397689637821
0.1,0.004207920792079208,0.8499999999999999,30,0.27155115999172125,0.002868621712473878
0.1,0.004702970297029704,0.95,30,0.27069432564099716,0.0011854616905635487
0.1,0.005198019801980199,1.05,30,0.27177727134929147,0.0015956691257083494
0.1,0.005693069306930694,1.15,30,0.27031704936464523,0.0002320593882893355
0.1,0.006435643564356437,1.3,30,0.27099251133948127,0.002338625616163931
0.1,0.007425742574257427,1.5,30,0.2740248866638707,0.0011517133255652381
0.1,0.009900990099009903,2.0,30,0.2733827457222611,0.006629611919879998
0.1,0.0014851485148514854,0.3,60,0.2730112992617518,0.0003326810174665255
0.1,0.0024752475247524757,0.5,60,0.2694695566751042,0.0003380244774282428
0.1,0.003465346534653466,0.7,60,0.27628722843946535,0.005107285653788024
0.1,0.004207920792079208,0.8499999999999999,60,0.27285139073745,0.0032749063903479182
0.1,0.004702970297029704,0.95,60,0.2709881727239251,0.0005872937971718684
0.1,0.005198019801980199,1.05,60,0.2719727300828795,0.000808225227878369
0.1,0.005693069306930694,1.15,60,0.2731746424744772,0.0008196495494368868
0.1,0.006435643564356437,1.3,60,0.2698931249804692,1.4338775380712764e-05
0.1,0.007425742574257427,1.5,60,0.2699352637299428,0.002526750079483341
0.1,0.009900990099009903,2.0,60,0.2691271109023754,0.002933299984019191
0.1,0.0014851485148514854,0.3,120,0.26842918228081736,0.005231830159758829
0.1,0.0024752475247524757,0.5,120,0.2703546852534307,0.00221055730458631
0.1,0.003465346534653466,0.7,120,0.2698596248697927,0.003584681148166115
0.1,0.004207920792079208,0.8499999999999999,120,0.27913076342544413,0.0022270536152518713
0.1,0.004702970297029704,0.95,120,0.27162936088515766,0.0008318453178777473
0.1,0.005198019801980199,1.05,120,0.272965213283461,0.003915521281833828
0.1,0.005693069306930694,1.15,120,0.2752616615572185,0.004862630907886103
0.1,0.006435643564356437,1.3,120,0.27412002144177205,0.004285531305139102
0.1,0.007425742574257427,1.5,120,0.2685744532721086,0.005746879200339011
0.1,0.009900990099009903,2.0,120,0.27070439953045833,0.0005784962324403784
0.1,0.0014851485148514854,0.3,240,0.2680746655248819,0.0015264835894265403
0.1,0.0024752475247524757,0.5,240,0.27192766522809264,0.0014863565506667183
0.1,0.003465346534653466,0.7,240,0.2743146542314569,0.004878318528873542
0.1,0.004207920792079208,0.8499999999999999,240,0.2654214777737165,0.0019110466864120104
0.1,0.004702970297029704,0.95,240,0.2796741726328657,0.0024502456861032556
0.1,0.005198019801980199,1.05,240,0.2649142058115344,0.006239203113671818
0.1,0.005693069306930694,1.15,240,0.27313214616573833,0.0021433224654853057
0.1,0.006435643564356437,1.3,240,0.27330879735253644,0.006770016428272433
0.1,0.007425742574257427,1.5,240,0.26832663565456916,0.0004952000373868827
0.1,0.009900990099009903,2.0,240,0.27412877583386686,0.008726263936436465
0.1,0.0014851485148514854,0.3,480,0.26379718503436117,0.0030791864156998867
0.1,0.0024752475247524757,0.5,480,0.27894975644234876,0.0052999968944979
0.1,0.003465346534653466,0.7,480,0.2695696235157712,0.014010001835017523
0.1,0.004207920792079208,0.8499999999999999,480,0.2702610682535248,0.008601306915411758
0.1,0.004702970297029704,0.95,480,0.2823621984266056,0.013854343765861822
0.1,0.005198019801980199,1.05,480,0.27551454711732165,0.004678512205468595
0.1,0.005693069306930694,1.15,480,0.273035969230202,0.008303984165592863
0.1,0.006435643564356437,1.3,480,0.2802524959134327,0.0038640824375320943
0.1,0.007425742574257427,1.5,480,0.2747092316172629,0.0006863043744904649
0.1,0.009900990099009903,2.0,480,0.26939183771903114,0.008714913264789797
0.2,0.00576923076923077,0.3,30,0.27274367246498255,0.010892566449104048
0.2,0.009615384615384618,0.5,30,0.28135795034840033,0.007994209753253885
0.2,0.013461538461538464,0.7,30,0.2642451363296384,0.0026026122551069514
0.2,0.01634615384615385,0.85,30,0.27688950715835703,0.004260115702772932
0.2,0.018269230769230774,0.95,30,0.2596098897049135,0.014502828625973983
0.2,0.020192307692307697,1.05,30,0.27428657736662376,0.0041464515064864055
0.2,0.02211538461538462,1.15,30,0.2757869600517427,0.009312988982206985
0.2,0.02500000000000001,1.3,30,0.2791171026285674,0.019488097555671737
0.2,0.028846153846153855,1.5,30,0.2817588193589911,0.0016588282920395397
0.2,0.03846153846153847,2.0,30,0.2832216511818826,0.012068883253552683
0.2,0.00576923076923077,0.3,60,0.2844577070112036,0.015446144674292783
0.2,0.009615384615384618,0.5,60,0.25343576238299526,0.019261721521022773
0.2,0.013461538461538464,0.7,60,0.25078269543334364,0.03042040887440633
0.2,0.01634615384615385,0.85,60,0.27065059308854744,0.029148045598503272
0.2,0.018269230769230774,0.95,60,0.2636255495792773,0.023910187351627584
0.2,0.020192307692307697,1.05,60,0.26022241068281105,0.002681174923690753
0.2,0.02211538461538462,1.15,60,0.28391060013451674,0.028764848297741247
0.2,0.02500000000000001,1.3,60,0.2690013876849125,0.0038136632138054322
0.2,0.028846153846153855,1.5,60,0.27237885577376586,0.038239425730055614
0.2,0.03846153846153847,2.0,60,0.27747514287344077,0.02915532464748065
0.2,0.00576923076923077,0.3,120,0.25597716438702933,0.021599406993166995
0.2,0.009615384615384618,0.5,120,0.27483689369846864,0.028626984933569945
0.2,0.013461538461538464,0.7,120,0.2977445587354953,0.0008698666988507748
0.2,0.01634615384615385,0.85,120,0.2656421371915014,0.014194501073753916
0.2,0.018269230769230774,0.95,120,0.2930354570989784,0.007939750966649835
0.2,0.020192307692307697,1.05,120,0.2667941095617834,0.04205678065308981
0.2,0.02211538461538462,1.15,120,0.2570298184647155,0.011689695798023784
0.2,0.02500000000000001,1.3,120,0.28388160028396847,0.030689413760056097
0.2,0.028846153846153855,1.5,120,0.2768640981929738,0.02785544635836562
0.2,0.03846153846153847,2.0,120,0.25077804084214533,0.016178879942948195
0.2,0.00576923076923077,0.3,240,0.2506779402056538,0.019086861560876012
0.2,0.009615384615384618,0.5,240,0.31908893768941066,0.007959901972798345
0.2,0.013461538461538464,0.7,240,0.3255222857131253,0.040441348419628674
0.2,0.01634615384615385,0.85,240,0.29663298356529466,0.013619635856330853
0.2,0.018269230769230774,0.95,240,0.2780037287860019,0.021827221028688153
0.2,0.020192307692307697,1.05,240,0.26119727402173876,0.03205578014698539
0.2,0.02211538461538462,1.15,240,0.3087293703800921,0.012453217586679825
0.2,0.02500000000000001,1.3,240,0.26992031195124144,0.027915349158690397
0.2,0.028846153846153855,1.5,240,0.2888599427870109,0.00943272121939703
0.2,0.03846153846153847,2.0,240,0.31028049906359334,0.010974523687344745
0.2,0.00576923076923077,0.3,480,0.28249843468790703,0.03413154339888626
0.2,0.009615384615384618,0.5,480,0.2841453467456192,0.0036698641412500517
0.2,0.013461538461538464,0.7,480,0.28377887769864957,0.049359204417362086
0.2,0.01634615384615385,0.85,480,0.30829735050948204,0.0026922799124725364
0.2,0.018269230769230774,0.95,480,0.30460712485392155,0.08249973983679423
0.2,0.020192307692307697,1.05,480,0.25631060657341714,0.04541628852152275
0.2,0.02211538461538462,1.15,480,0.26686516430141183,0.03787106480236031
0.2,0.02500000000000001,1.3,480,0.22154274730051846,0.03958046020048178
0.2,0.028846153846153855,1.5,480,0.33003083219181073,0.05057538186641471
0.2,0.03846153846153847,2.0,480,0.33023352815820295,0.038250554953170375
0.3,0.01238532110091743,0.3,30,0.23510290482695131,0.033259907270094466
0.3,0.020642201834862383,0.5,30,0.2851256255470887,0.010281292608479152
0.3,0.028899082568807334,0.7,30,0.30273786034768513,0.018277875836137703
0.3,0.03509174311926605,0.85,30,0.2178772840636798,0.0011952768914758234
