p_g,mu_g,tau_eval,alpha_kappa,beta_kappa,window_lo,window_hi,replicate_id,post_mean_kappa,ratio_R,post_prob_kappa_in_scale_window
20,28.372248270095277,0.5,0.5,1.0,0.7093062067523819,0.9999,1,0.5558718345146483,0.3918419359811852,0.3474824442425275
20,28.372248270095277,0.5,0.5,1.0,0.7093062067523819,0.9999,2,0.6291219977171009,0.4434770143895884,0.43395706432310965
50,56.409046396295906,0.5,0.5,1.0,0.564090463962959,0.9999,1,0.7875282415642146,0.6980513693065441,0.8828999080409372
50,56.409046396295906,0.5,0.5,1.0,0.564090463962959,0.9999,2,0.7846490126364096,0.6954992707410257,0.8784491555028929
100,94.86832980505137,0.5,0.5,1.0,0.4743416490252569,0.9999,1,0.8459810250872078,0.8917422988532075,0.9821880216248059
100,94.86832980505137,0.5,0.5,1.0,0.4743416490252569,0.9999,2,0.8358411615629282,0.881053944219879,0.9779120136567562
200,159.54887690834965,0.5,0.5,1.0,0.3988721922708741,0.9999,1,0.8781077755009465,1.1007382722040242,0.9910528551086595
200,159.54887690834965,0.5,0.5,1.0,0.3988721922708741,0.9999,2,0.8738099317875697,1.0953507774166484,0.9912152162467277
500,317.21137903216925,0.5,0.5,1.0,0.3172113790321692,0.9999,1,0.9294982559501073,1.465108626913167,0.984259572410733
500,317.21137903216925,0.5,0.5,1.0,0.3172113790321692,0.9999,2,0.9160014100353182,1.4438344122932993,0.9870528540726575
20,28.372248270095277,1.0,0.5,1.0,0.7093062067523819,0.9999,1,0.7898636752166854,0.556786101473116,0.7221659345530814
20,28.372248270095277,1.0,0.5,1.0,0.7093062067523819,0.9999,2,0.8199315976264056,0.5779814062113818,0.7869054653193777
50,56.409046396295906,1.0,0.5,1.0,0.564090463962959,0.9999,1,0.8748978865396745,0.7754943067049656,0.9777100200672402
50,56.409046396295906,1.0,0.5,1.0,0.564090463962959,0.9999,2,0.9358071999553134,0.829483265308987,0.9820964167160041
100,94.86832980505137,1.0,0.5,1.0,0.4743416490252569,0.9999,1,0.9396935662011707,0.9905239906006394,0.9813938801215795
100,94.86832980505137,1.0,0.5,1.0,0.4743416490252569,0.9999,2,0.9414365215248025,0.9923612268281702,0.9807729000850114
200,159.54887690834965,1.0,0.5,1.0,0.3988721922708741,0.9999,1,0.9545022668834452,1.1965013923999528,0.9752092651091554
200,159.54887690834965,1.0,0.5,1.0,0.3988721922708741,0.9999,2,0.9437783811094835,1.1830586330627977,0.9805343951863075
500,317.21137903216925,1.0,0.5,1.0,0.3172113790321692,0.9999,1,0.9615011155015892,1.5155526867213691,0.9715427065212655
500,317.21137903216925,1.0,0.5,1.0,0.3172113790321692,0.9999,2,0.9466211445668543,1.4920983406318078,0.9809578153108005
20,28.372248270095277,2.0,0.5,1.0,0.7093062067523819,0.9999,1,0.7359997471736979,0.5188166550406591,0.6044118068363513
20,28.372248270095277,2.0,0.5,1.0,0.7093062067523819,0.9999,2,0.651493972272488,0.4592473363904483,0.403368661438808
50,56.409046396295906,2.0,0.5,1.0,0.564090463962959,0.9999,1,0.8042502481235194,0.7128734657853837,0.9909243395222481
50,56.409046396295906,2.0,0.5,1.0,0.564090463962959,0.9999,2,0.8874856635641606,0.7866518938551293,0.9963785465380357
100,94.86832980505137,2.0,0.5,1.0,0.4743416490252569,0.9999,1,0.8218959644755147,0.866354415814488,0.9998971105992208
100,94.86832980505137,2.0,0.5,1.0,0.4743416490252569,0.9999,2,0.7732980087426378,0.8151276725665119,0.9999256044216571
200,159.54887690834965,2.0,0.5,1.0,0.3988721922708741,0.9999,1,0.7040492531327192,0.8825499330053563,0.9999997477378786
200,159.54887690834965,2.0,0.5,1.0,0.3988721922708741,0.9999,2,0.6713844722187994,0.8416035076253977,0.9999932823829079
500,317.21137903216925,2.0,0.5,1.0,0.3172113790321692,0.9999,1,0.6368266530920921,1.0037891059190374,0.999999999999992
500,317.21137903216925,2.0,0.5,1.0,0.3172113790321692,0.9999,2,0.6187912745357742,0.975361092694315,0.9999999999995338
