tau_eval,p_g,median_ratio_R,iqr_ratio_R_low,iqr_ratio_R_high,mean_window_prob
0.5,20,0.4176594751853868,0.404750705583286,0.4305682447874876,0.3907197542828186
0.5,50,0.696775320023785,0.6961372953824053,0.6974133446651645,0.8806745317719151
0.5,100,0.8863981215365433,0.8837260328782112,0.8890702101948754,0.980050017640781
0.5,200,1.0980445248103363,1.0966976511134923,1.0993913985071804,0.9911340356776936
0.5,500,1.4544715196032332,1.4491529659482663,1.4597900732582,0.9856562132416953
1.0,20,0.5673837538422489,0.5620849276576825,0.5726825800268154,0.7545356999362296
1.0,50,0.8024887860069763,0.7889915463559709,0.8159860256579816,0.9799032183916221
1.0,100,0.9914426087144048,0.9909832996575221,0.9919019177712876,0.9810833901032954
1.0,200,1.1897800127313753,1.1864193228970865,1.193140702565664,0.9778718301477314
1.0,500,1.5038255136765883,1.4979619271541982,1.5096891001989787,0.9762502609160331
2.0,20,0.48903199571555367,0.474139666053001,0.5039243253781064,0.5038902341375797
2.0,50,0.7497626798202566,0.7313180728028201,0.7682072868376929,0.993651443030142
2.0,100,0.8407410441904999,0.8279343583785059,0.853547730002494,0.999911357510439
2.0,200,0.862076720315377,0.8518401139703874,0.8723133266603667,0.9999965150603932
2.0,500,0.9895750993066762,0.9824680960004957,0.9966821026128567,0.9999999999997629
