tau_eval,p_g,median_ratio_R,iqr_ratio_R_low,iqr_ratio_R_high,mean_window_prob
1.5,20,0.4799338233718515,0.4663408764427897,0.4890471081614897,0.38816509652530806
1.5,50,0.6211461346324667,0.6092224677747561,0.6295426401704334,0.9605591316804967
1.5,100,0.7445029351340988,0.731508453553212,0.7537125439698056,0.9828100024796627
1.5,200,0.8778384604254283,0.8614783255138331,0.8925008038167512,0.9882943547931422
1.5,500,1.0261961042136352,0.9971336500837074,1.053191762782594,0.9993781410410417
1.5,1000,1.1173739985204039,1.0927581981072851,1.141516212803117,0.999999967412587
2.0,20,0.47291240400765017,0.4548178984615653,0.4851853696056706,0.3138719669215014
2.0,50,0.5942169987529164,0.5733132316429372,0.6099114108542457,0.9253200592368712
2.0,100,0.6833834568557389,0.6611993024454668,0.7035082580937302,0.9955837514292954
2.0,200,0.7655349087019674,0.7418162846157283,0.7871557743174291,0.9999691297237164
2.0,500,0.8783897029957686,0.8581426243886261,0.8994438895433414,0.9999999999739588
2.0,1000,0.9652633084981135,0.9459258274177549,0.9851613127523632,1.0
3.0,20,0.44283374832740824,0.420092120162666,0.45999069503670365,0.09796367781114992
3.0,50,0.5369987091914362,0.5153731321095454,0.553055843890153,0.7634924989279744
3.0,100,0.610074947927268,0.5923328092441665,0.6269782274694966,0.979466085401235
3.0,200,0.6867169291010129,0.6686156296287076,0.7040845515881549,0.9997754982180777
3.0,500,0.7969518589395121,0.7770276544249088,0.8118890020973747,0.9999999998642659
3.0,1000,0.8806354972378501,0.8643529367013366,0.8962496709292574,1.0
