xi,xi_ratio,p_g,mean_prob_gt_u0,sd_prob_gt_u0
0.05,0.2,60,0.08922455157666546,0.1170668844414916
0.1,0.4,60,0.1615202616704129,0.1852861550690437
0.15,0.6,60,0.2237359661653993,0.1984471699443572
0.2,0.8,60,0.3115240936355564,0.24786762827340045
0.225,0.9,60,0.36944380827912177,0.25365123332659506
0.2375,0.95,60,0.4000475913043754,0.2664056161087961
0.25,1.0,60,0.4338610690009696,0.2683593185209763
0.2625,1.05,60,0.4645713023130127,0.2727548502094334
0.275,1.1,60,0.4742473485626331,0.2681426067306109
0.3,1.2,60,0.542162157505592,0.2611222594161114
0.375,1.5,60,0.6459607972917857,0.2488185443605417
0.5,2.0,60,0.8303390836386859,0.179521302739647
0.75,3.0,60,0.9669978925911318,0.06937482689909572
1.0,4.0,60,0.9946285943639331,0.016603276717562544
0.05,0.2,120,0.032875987965453234,0.06633804165602691
0.1,0.4,120,0.0947964625108848,0.14916474703719645
0.15,0.6,120,0.18413600527492405,0.20029331177019336
0.2,0.8,120,0.2912465868074774,0.23949824964277722
0.225,0.9,120,0.39150181154353747,0.27178736940658527
0.2375,0.95,120,0.4389878433267694,0.2765607649964373
0.25,1.0,120,0.46872601815449977,0.27497528034819574
0.2625,1.05,120,0.5140228971226702,0.2741255092382905
0.275,1.1,120,0.5407995137839361,0.2696929569055567
0.3,1.2,120,0.6211761217214161,0.2503235425251044
0.375,1.5,120,0.7720128066537135,0.2156161192250221
0.5,2.0,120,0.9385251855204213,0.09537384492930447
0.75,3.0,120,0.997464028934603,0.011184341867721078
1.0,4.0,120,0.9999546142789177,0.0002962499465343924
0.05,0.2,240,0.006299149346114169,0.02267168937014127
0.1,0.4,240,0.03331987953577902,0.06506043112325892
0.15,0.6,240,0.12030205289864623,0.14993794892576517
0.2,0.8,240,0.27906552802018264,0.24328674754229948
0.225,0.9,240,0.3759761973114382,0.2617691148250052
0.2375,0.95,240,0.4261770240061143,0.27581481469862285
0.25,1.0,240,0.4700282994032883,0.2757080234529085
0.2625,1.05,240,0.5292118406825254,0.2829845134604401
0.275,1.1,240,0.5736240013216517,0.2674473444368197
0.3,1.2,240,0.676390917664798,0.26472117649016536
0.375,1.5,240,0.8939210004378079,0.14873658560714487
0.5,2.0,240,0.9901123311323291,0.024926219236733625
0.75,3.0,240,0.9999927956687884,5.076070141557202e-05
1.0,4.0,240,0.9999999832541749,3.225584401723087e-07
0.05,0.2,480,0.0003818979870252457,0.0024786679504888217
0.1,0.4,480,0.006469181853462337,0.02379830499601719
0.15,0.6,480,0.057843140882237354,0.09512121379212726
0.2,0.8,480,0.20495843356757587,0.20834165205826566
0.225,0.9,480,0.33133065022490094,0.26328221961022447
0.2375,0.95,480,0.4020800527862751,0.2735610358257828
0.25,1.0,480,0.4888875785100521,0.27471743685413075
0.2625,1.05,480,0.5519597388510794,0.2842632858890076
0.275,1.1,480,0.6359756125459537,0.25761178719551303
0.3,1.2,480,0.7499757581094233,0.2385904873894952
0.375,1.5,480,0.9581437406599654,0.08508107714991492
0.5,2.0,480,0.9994008301146774,0.004785401738207428
0.75,3.0,480,0.9999999992671494,1.6791576563587225e-08
1.0,4.0,480,1.0,1.5694370245251022e-16
0.05,0.2,960,2.0751534579993487e-07,1.533524841780614e-06
0.1,0.4,960,0.00018083375767173686,0.0013112583355329604
0.15,0.6,960,0.010101358958334508,0.03298731595696452
0.2,0.8,960,0.12348040777934353,0.15108910224700062
0.225,0.9,960,0.2893823364581809,0.2505312503993847
0.2375,0.95,960,0.3698878447592845,0.26196966136236055
0.25,1.0,960,0.49497766342539495,0.28070910188984144
0.2625,1.05,960,0.5962006565594901,0.2708609699657376
0.275,1.1,960,0.6744160023102381,0.2630018544509936
0.3,1.2,960,0.8267904971110054,0.20023172869260492
0.375,1.5,960,0.9926871521708371,0.02763346613420318
0.5,2.0,960,0.9999993885420042,6.430524259795079e-06
0.75,3.0,960,1.0,1.5255558832209802e-16
1.0,4.0,960,1.0,1.4607846506166916e-16
0.05,0.2,1920,1.568591529027174e-13,1.937219428142115e-12
0.1,0.4,1920,1.3277743218705945e-07,1.834153585812883e-06
0.15,0.6,1920,0.0011119983581378942,0.014248959280829868
0.2,0.8,1920,0.05325103038126655,0.09722418422998999
0.225,0.9,1920,0.20367252939405836,0.2083176501912086
0.2375,0.95,1920,0.36107996937495807,0.27722286103864674
0.25,1.0,1920,0.4981306580866194,0.2774320646185439
0.2625,1.05,1920,0.6583111912784351,0.2708343697667948
0.275,1.1,1920,0.7816802906513315,0.2143473518124428
0.3,1.2,1920,0.9188325830042574,0.13182016487502515
0.375,1.5,1920,0.9998240829791784,0.0011614671270217863
0.5,2.0,1920,0.9999999999998563,1.9205070370553914e-12
0.75,3.0,1920,1.0,1.3563306564835865e-16
1.0,4.0,1920,1.0,1.2894440396108804e-16
